deviceId,voltage,power,current,temperature,timestamp,received_at
virtual_meter_01,225.87,1538.97,6.81,36.22,2026-02-02T14:00:24.204Z,2026-02-02T19:30:24.205530
virtual_meter_01,220.07,1109.96,5.04,34.17,2026-02-02T14:00:29.204Z,2026-02-02T19:30:29.205372
virtual_meter_01,223.84,2475.46,11.06,38.19,2026-02-02T14:00:34.205Z,2026-02-02T19:30:34.206089
virtual_meter_01,221.76,2026.97,9.14,39.95,2026-02-02T14:00:39.206Z,2026-02-02T19:30:39.207253
virtual_meter_01,226.19,672.80,2.97,39.67,2026-02-02T14:00:44.207Z,2026-02-02T19:30:44.208022
virtual_meter_01,229.73,2632.50,11.46,40.38,2026-02-02T14:00:49.209Z,2026-02-02T19:30:49.209771
virtual_meter_01,225.93,886.60,3.92,25.16,2026-02-02T14:00:54.209Z,2026-02-02T19:30:54.210238
virtual_meter_01,225.69,2577.54,11.42,26.44,2026-02-02T14:00:59.210Z,2026-02-02T19:30:59.211061
virtual_meter_01,220.02,2785.41,12.66,36.56,2026-02-02T14:01:04.211Z,2026-02-02T19:31:04.212492
virtual_meter_01,223.76,578.04,2.58,30.75,2026-02-02T14:01:09.212Z,2026-02-02T19:31:09.213076
virtual_meter_01,220.10,449.44,2.04,33.38,2026-02-02T14:01:14.213Z,2026-02-02T19:31:14.214368
virtual_meter_01,229.70,1071.89,4.67,31.70,2026-02-02T14:01:19.214Z,2026-02-02T19:31:19.215171
virtual_meter_01,227.61,2567.94,11.28,40.00,2026-02-02T14:01:24.216Z,2026-02-02T19:31:24.216854
virtual_meter_01,220.50,1970.83,8.94,39.88,2026-02-02T14:01:29.216Z,2026-02-02T19:31:29.217784
virtual_meter_01,221.63,1434.20,6.47,41.45,2026-02-02T14:01:34.217Z,2026-02-02T19:31:34.218598
virtual_meter_01,225.80,1645.14,7.29,31.54,2026-02-02T14:01:39.218Z,2026-02-02T19:31:39.219080
virtual_meter_01,224.01,665.41,2.97,34.92,2026-02-02T14:01:44.220Z,2026-02-02T19:31:44.221012
virtual_meter_01,228.25,2567.05,11.25,28.44,2026-02-02T14:01:49.222Z,2026-02-02T19:31:49.222846
virtual_meter_01,222.70,2188.42,9.83,39.91,2026-02-02T14:01:54.223Z,2026-02-02T19:31:54.224563
virtual_meter_01,220.95,1372.82,6.21,33.92,2026-02-02T14:01:59.224Z,2026-02-02T19:31:59.225311
virtual_meter_01,229.00,1437.18,6.28,29.39,2026-02-02T14:02:04.225Z,2026-02-02T19:32:04.226295
virtual_meter_01,228.50,383.27,1.68,26.70,2026-02-02T14:02:09.226Z,2026-02-02T19:32:09.226963
virtual_meter_01,223.58,1618.02,7.24,26.96,2026-02-02T14:02:14.228Z,2026-02-02T19:32:14.228736
virtual_meter_01,223.15,467.29,2.09,42.64,2026-02-02T14:02:19.229Z,2026-02-02T19:32:19.230525
virtual_meter_01,221.75,425.14,1.92,34.84,2026-02-02T14:02:24.230Z,2026-02-02T19:32:24.230999
virtual_meter_01,225.37,2809.62,12.47,31.31,2026-02-02T14:02:29.232Z,2026-02-02T19:32:29.232728
virtual_meter_01,225.82,2500.21,11.07,36.31,2026-02-02T14:02:34.233Z,2026-02-02T19:32:34.234483
virtual_meter_01,220.29,1566.91,7.11,44.78,2026-02-02T14:02:39.234Z,2026-02-02T19:32:39.234872
virtual_meter_01,226.16,2950.46,13.05,40.35,2026-02-02T14:02:44.235Z,2026-02-02T19:32:44.236675
virtual_meter_01,227.92,797.07,3.50,35.89,2026-02-02T14:02:49.237Z,2026-02-02T19:32:49.238459
virtual_meter_01,229.92,1586.02,6.90,40.76,2026-02-02T14:02:54.238Z,2026-02-02T19:32:54.238793
virtual_meter_01,222.96,2549.71,11.44,34.70,2026-02-02T14:02:59.239Z,2026-02-02T19:32:59.240704
virtual_meter_01,222.00,1997.73,9.00,31.59,2026-02-02T14:03:04.241Z,2026-02-02T19:33:04.242332
